aspect,group,measurement_scale,matched_sentences,unique_opinions,evidence_used_for_summary,cluster_weight,cec,asc_contribution
FAC_ROOM,FACILITY,"Room, Bed & Sleep Quality",809873,755457,5000,0.03999362764495228,0.5805900338921969,0.027740570469179875
FAC_BATH,FACILITY,Bathroom & Sanitary Area,406277,372007,5000,0.03790041208800518,0.6404378267788776,0.029184334613532335
FAC_INTERIOR,FACILITY,Interior Design & Ambience,168493,161667,5000,0.035437958140887856,0.6129360760759569,0.027678540800991455
FAC_BUILDING,FACILITY,Building Infrastructure,183422,176500,5000,0.035697336619555764,0.6431292035837431,0.030447409024016235
FAC_ENV,FACILITY,Noise & Environmental Comfort,104738,100817,5000,0.034042612928207885,0.5922755286385787,0.02747539627741234
FAC_CLIMATE,FACILITY,Air Conditioning & Ventilation,180707,165655,5000,0.035509962497629596,0.6568445188456739,0.024978963429237732
FAC_SECURITY,FACILITY,Physical Security Infrastructure,37423,35992,5000,0.030999177973561273,0.5241250676151471,0.023139654338704196
FAC_VIEW_LOCATION,FACILITY,"View, Surroundings & Location",420261,391803,5000,0.03805360836844956,0.5818034077947789,0.026202360322434542
AM_WIFI,AMENITY,Wifi & Connectivity,47011,43482,5000,0.031557772301232766,0.5532283076351562,0.02298327143975125
AM_FOOD,AMENITY,Food & Beverage,554481,512579,5000,0.03884755206649655,0.5450105923613587,0.029882436619714927
AM_POOL,AMENITY,Pool & Water Facilities,378267,345571,5000,0.03768259999131128,0.6467853700156982,0.030115731886175078
AM_WELLNESS,AMENITY,"Gym, Spa & Wellness Facilities",149927,144104,5000,0.035098146827722665,0.5303335943245021,0.027125053761362792
AM_ENT,AMENITY,Entertainment & Recreation,66622,63493,5000,0.03267639165369576,0.4909169006234643,0.026458367079169466
AM_TRANSPORT,AMENITY,Transportation & Parking,125276,116465,5000,0.03446894064550859,0.6310010638977661,0.02501794415243923
AM_ROOM_UTIL,AMENITY,In-room Utilities,86124,81854,5000,0.03342692588320034,0.5483630265681088,0.022582942277773847
AM_UTILITY,AMENITY,Laundry & Utility Services,87803,83926,5000,0.033500790249457416,0.5278125822188647,0.024267327020513315
SER_ATTITUDE,SERVICE,Staff Attitude & Hospitality,547246,499367,5000,0.03877039156679429,0.6234166428459714,0.027941300094440735
SER_OPERATION,SERVICE,Operational Efficiency,97246,93063,5000,0.03380614077923064,0.46097074463431936,0.02701836075411831
SER_SUPPORT,SERVICE,Support & Problem Resolution,97960,94112,5000,0.0338392605664053,0.5179452755253969,0.02316407311216686
SER_COMM,SERVICE,Communication Ability,67439,63789,5000,0.03269013456246941,0.6013768095721703,0.022505690809661767
EXP_OVERALL,EXPERIENCE,Overall Stay Experience,463676,426041,5000,0.038301151420177273,0.4846750330128727,0.03173335918829758
EXP_EMOTION,EXPERIENCE,Emotional Experience,98758,94480,5000,0.033850791925129506,0.4959802408019957,0.02706407440812105
EXP_VALUE,EXPERIENCE,Value for Money,122028,113255,5000,0.03438635763762428,0.551954972471899,0.024487433838897094
EXP_SAFETY,EXPERIENCE,Subjective Safety Feeling,120101,108208,5000,0.03425165894252844,0.6763716723087078,0.025101759754944695
BRA_REPUTE,BRANDING,Brand Reputation & Reliability,23423,22581,5000,0.02962172885771196,0.5396312210345425,0.02217440154324692
BRA_LUXURY,BRANDING,Luxury & Premium Perception,56349,54334,5000,0.03221610027385984,0.5304167940114993,0.02586696798134959
LOY_RETURN,LOYALTY,Revisit Intention,55624,51751,5000,0.032072184610349254,0.648370065025386,0.020975589026096184
LOY_RECOMMEND,LOYALTY,Recommendation Intention,86831,73658,5000,0.033115184095628906,0.6426376961488844,0.02597068771735864
LOY_PREFERENCE,LOYALTY,Customer Preference & Attachment,14405,13886,5000,0.02818509888221628,0.4869658904450021,0.024630452041365915
