aspect,group,measurement_scale,matched_sentences,unique_opinions,evidence_used_for_summary,cluster_weight,cec,asc_contribution
FAC_ROOM,FACILITY,"Room, Bed & Sleep Quality",248301,234128,5000,0.04118740853705079,0.6184438578381283,0.028228963463796622
FAC_BATH,FACILITY,Bathroom & Sanitary Area,130365,121174,5000,0.03899326858441453,0.6390490502696196,0.029697370420632706
FAC_INTERIOR,FACILITY,Interior Design & Ambience,43981,42721,5000,0.03552027734179142,0.5991414406485153,0.028800198848911263
FAC_BUILDING,FACILITY,Building Infrastructure,49712,48602,5000,0.035949924016609486,0.5015539742464805,0.02917042206230123
FAC_ENV,FACILITY,Noise & Environmental Comfort,36160,35462,5000,0.03489990209128327,0.5242754287492076,0.02487281543694489
FAC_CLIMATE,FACILITY,Air Conditioning & Ventilation,60575,56135,5000,0.03642994321430938,0.6775929239078903,0.02582457869218919
FAC_SECURITY,FACILITY,Physical Security Infrastructure,8861,8722,5000,0.030227613201716897,0.5192456198205472,0.022944477105344887
FAC_VIEW_LOCATION,FACILITY,"View, Surroundings & Location",161558,148972,5000,0.039681287260682395,0.6005000644430422,0.026975917626205333
AM_WIFI,AMENITY,Wifi & Connectivity,12336,11917,5000,0.03126727896310312,0.4981705338194908,0.022370640347918563
AM_FOOD,AMENITY,Food & Beverage,141603,131420,5000,0.039263673629652086,0.5607532091814887,0.028467261565636538
AM_POOL,AMENITY,Pool & Water Facilities,116445,107100,5000,0.038581970180682795,0.663417501179019,0.031181160612953635
AM_WELLNESS,AMENITY,"Gym, Spa & Wellness Facilities",30055,29343,5000,0.03426894087563001,0.5217906052744153,0.021976237181398132
AM_ENT,AMENITY,Entertainment & Recreation,16111,15750,5000,0.0321962355584805,0.4861077590622403,0.02759179074711791
AM_TRANSPORT,AMENITY,Transportation & Parking,40514,38154,5000,0.03514364572245898,0.6449852823558676,0.021413345989853675
AM_ROOM_UTIL,AMENITY,In-room Utilities,27201,26501,5000,0.0339295846010888,0.5238699828963399,0.02523353458502068
AM_UTILITY,AMENITY,Laundry & Utility Services,26268,25623,5000,0.033817349230863575,0.494977241292958,0.02733014429162849
SER_ATTITUDE,SERVICE,Staff Attitude & Hospitality,170019,151202,5000,0.03973078500832228,0.697359819933331,0.029216475788789067
SER_OPERATION,SERVICE,Operational Efficiency,27684,27256,5000,0.03402316241086412,0.4965826919375855,0.023971216711681106
SER_SUPPORT,SERVICE,Support & Problem Resolution,27659,26860,5000,0.03397440846738906,0.5241907496496224,0.023561947434011556
SER_COMM,SERVICE,Communication Ability,20940,20628,5000,0.033095010256562044,0.5330737348963116,0.020262791037236567
EXP_OVERALL,EXPERIENCE,Overall Stay Experience,101284,93538,5000,0.03813092764322797,0.480561913825877,0.03004066093823138
EXP_EMOTION,EXPERIENCE,Emotional Experience,22981,22374,5000,0.033365669424335824,0.5083291032247746,0.02479329812002711
EXP_VALUE,EXPERIENCE,Value for Money,34648,32168,5000,0.03457514123885289,0.5748057051454283,0.026497238868501704
EXP_SAFETY,EXPERIENCE,Subjective Safety Feeling,40878,36780,5000,0.03502146759846243,0.7090013867256721,0.026810038250407047
BRA_REPUTE,BRANDING,Brand Reputation & Reliability,3768,3721,3721,0.02739030671431809,0.5243910616406338,0.022334700770581604
BRA_LUXURY,BRANDING,Luxury & Premium Perception,9019,8858,5000,0.030279151235406563,0.4989181588550209,0.023138384662276006
LOY_RETURN,LOYALTY,Revisit Intention,10329,9917,5000,0.030655317124990148,0.5517106397956636,0.01487700607392118
LOY_RECOMMEND,LOYALTY,Recommendation Intention,14232,12823,5000,0.031511361196948286,0.5475187870833452,0.022781247312766758
LOY_PREFERENCE,LOYALTY,Customer Preference & Attachment,3296,3201,3201,0.02688898867050198,0.46997747572368426,0.023381651132068748
